stage,epoch,metric,q_scale,mean_abs_q_pred,mean_abs_base_pred,mean_abs_contribution
base,1,q_diagnostic,0.0,0.0,0.8944592475891113,0.0
base,10,q_diagnostic,0.0,0.0,0.7650439739227295,0.0
base,20,q_diagnostic,0.0,0.0,0.7870373725891113,0.0
base,30,q_diagnostic,0.0,0.0,0.7807106971740723,0.0
base,40,q_diagnostic,0.0,0.0,0.7751823663711548,0.0
base,50,q_diagnostic,0.0,0.0,0.7718961238861084,0.0
base,60,q_diagnostic,0.0,0.0,0.7478294372558594,0.0
base,70,q_diagnostic,0.0,0.0,0.8156744837760925,0.0
base,80,q_diagnostic,0.0,0.0,0.7339600324630737,0.0
base,90,q_diagnostic,0.0,0.0,0.7782918214797974,0.0
base,100,q_diagnostic,0.0,0.0,0.8018627166748047,0.0
base,110,q_diagnostic,0.0,0.0,0.7905844449996948,0.0
base,120,q_diagnostic,0.0,0.0,0.6923258304595947,0.0
base,130,q_diagnostic,0.0,0.0,0.7888894081115723,0.0
base,140,q_diagnostic,0.0,0.0,0.8234026432037354,0.0
base,150,q_diagnostic,0.0,0.0,0.7511472702026367,0.0
base,160,q_diagnostic,0.0,0.0,0.8005127906799316,0.0
base,170,q_diagnostic,0.0,0.0,0.7882691621780396,0.0
base,180,q_diagnostic,0.0,0.0,0.7097207903862,0.0
base,190,q_diagnostic,0.0,0.0,0.8022466897964478,0.0
base,200,q_diagnostic,0.0,0.0,0.7552498579025269,0.0
quantum,1,q_diagnostic,0.007917141541838646,0.15832549333572388,0.7102562785148621,0.0012534852139651775
quantum,10,q_diagnostic,0.027653492987155914,0.08505994081497192,0.7411140203475952,0.0023522046394646168
quantum,20,q_diagnostic,0.03421725332736969,0.06948439031839371,0.7918007373809814,0.0023775650188326836
quantum,30,q_diagnostic,0.03431858867406845,0.06073262542486191,0.8123663663864136,0.0020842577796429396
quantum,40,q_diagnostic,0.035567622631788254,0.06292235851287842,0.768904447555542,0.002237998880445957
quantum,50,q_diagnostic,0.037326160818338394,0.05958668142557144,0.7474614977836609,0.002224142197519541
quantum,60,q_diagnostic,0.03777935355901718,0.060878902673721313,0.7702329158782959,0.00229996582493186
finetune,1,q_diagnostic,0.037725768983364105,0.0659853145480156,0.7986924052238464,0.0024893467780202627
finetune,10,q_diagnostic,0.03634215146303177,0.07518669962882996,0.7804276943206787,0.0027324464172124863
finetune,20,q_diagnostic,0.034528981894254684,0.06234666332602501,0.7520478963851929,0.0021527670323848724
finetune,30,q_diagnostic,0.03435181453824043,0.056039921939373016,0.7384254336357117,0.0019250729819759727
