stage,epoch,metric,q_scale,mean_abs_q_pred,mean_abs_base_pred,mean_abs_contribution,contribution_pct,theta_mean,theta_std,theta_min,theta_max
base,1,q_diagnostic,0.0,0.0,0.6068363189697266,0.0,0.0,-0.450688898563385,2.4621739387512207,-3.1415927410125732,3.1415927410125732
base,10,q_diagnostic,0.0,0.0,0.8319592475891113,0.0,0.0,-1.2322607040405273,2.6062235832214355,-3.1415927410125732,3.1415927410125732
base,20,q_diagnostic,0.0,0.0,0.783427894115448,0.0,0.0,-1.171435832977295,2.6179888248443604,-3.1415927410125732,3.1415927410125732
base,30,q_diagnostic,0.0,0.0,0.8187295198440552,0.0,0.0,-0.9006246328353882,2.598581552505493,-3.1415927410125732,3.1415927410125732
base,40,q_diagnostic,0.0,0.0,0.8129734992980957,0.0,0.0,-1.0683398246765137,2.6061086654663086,-3.1415927410125732,3.1415927410125732
base,50,q_diagnostic,0.0,0.0,0.7863628268241882,0.0,0.0,-1.0688135623931885,2.554722785949707,-3.1415927410125732,3.1415927410125732
base,60,q_diagnostic,0.0,0.0,0.8240848779678345,0.0,0.0,-1.084354043006897,2.542785882949829,-3.1415927410125732,3.1415927410125732
base,70,q_diagnostic,0.0,0.0,0.8143078088760376,0.0,0.0,-1.2265088558197021,2.560065269470215,-3.1415927410125732,3.1415927410125732
base,80,q_diagnostic,0.0,0.0,0.7393683195114136,0.0,0.0,-1.3237652778625488,2.564528703689575,-3.1415927410125732,3.1415927410125732
base,90,q_diagnostic,0.0,0.0,0.7881603837013245,0.0,0.0,-1.3170644044876099,2.555781841278076,-3.1415927410125732,3.1415927410125732
base,100,q_diagnostic,0.0,0.0,0.8022189736366272,0.0,0.0,-1.3393276929855347,2.4823105335235596,-3.1415927410125732,3.1415927410125732
base,110,q_diagnostic,0.0,0.0,0.774268388748169,0.0,0.0,-1.3535703420639038,2.482921838760376,-3.1415927410125732,3.1415927410125732
base,120,q_diagnostic,0.0,0.0,0.728395938873291,0.0,0.0,-1.4087505340576172,2.4420011043548584,-3.1415927410125732,3.1415927410125732
base,130,q_diagnostic,0.0,0.0,0.7982487082481384,0.0,0.0,-1.3730356693267822,2.4495890140533447,-3.1415927410125732,3.1415927410125732
base,140,q_diagnostic,0.0,0.0,0.8084311485290527,0.0,0.0,-1.4214390516281128,2.4799814224243164,-3.1415927410125732,3.1415927410125732
base,150,q_diagnostic,0.0,0.0,0.7819483280181885,0.0,0.0,-1.4354476928710938,2.4554049968719482,-3.1415927410125732,3.1415927410125732
base,160,q_diagnostic,0.0,0.0,0.8215762376785278,0.0,0.0,-1.4686760902404785,2.435757637023926,-3.1415927410125732,3.1415927410125732
base,170,q_diagnostic,0.0,0.0,0.8018257021903992,0.0,0.0,-1.4822440147399902,2.41828989982605,-3.1415927410125732,3.1415927410125732
base,180,q_diagnostic,0.0,0.0,0.7553700804710388,0.0,0.0,-1.4833322763442993,2.3885796070098877,-3.1415927410125732,3.1415927410125732
base,190,q_diagnostic,0.0,0.0,0.808556318283081,0.0,0.0,-1.468719482421875,2.4152867794036865,-3.1415927410125732,3.1415927410125732
base,200,q_diagnostic,0.0,0.0,0.758081316947937,0.0,0.0,-1.4773682355880737,2.3929901123046875,-3.1415927410125732,3.1415927410125732
quantum,1,q_diagnostic,-7.519720384152606e-05,0.16527992486953735,0.7496213316917419,1.2428587069734931e-05,0.0016579820429695582,-1.6249819993972778,1.806200385093689,-3.1415927410125732,3.1415927410125732
quantum,10,q_diagnostic,0.0023775468580424786,0.07768820226192474,0.7656874060630798,0.0001847073290264234,0.024123072622532514,-3.1406397819519043,0.006422820966690779,-3.1415927410125732,-3.0229833126068115
quantum,20,q_diagnostic,0.0021551044192165136,0.0409206748008728,0.8165977597236633,8.818832429824397e-05,0.010799481537639646,-1.5705972909927368,2.721169948577881,-3.1415927410125732,3.1415927410125732
finetune,1,q_diagnostic,0.002884302521124482,0.038467634469270706,0.8215163350105286,0.00011095228546764702,0.0135057917583696,-1.5705926418304443,2.721169948577881,-3.1415927410125732,3.1415927410125732
finetune,10,q_diagnostic,0.008701405487954617,0.07062364369630814,0.8063634634017944,0.0006145249935798347,0.07620942930456999,-1.5696102380752563,2.720609426498413,-3.1415927410125732,3.1415927410125732
finetune,20,q_diagnostic,0.01733515039086342,0.11773199588060379,0.8134784698486328,0.002040901919826865,0.2508857942121216,-1.5633097887039185,2.717099905014038,-3.1415927410125732,3.1415927410125732
